ID,Code,LongDescription
9795,"95957","Digital analysis of electroencephalogram (EEG) (eg, for epileptic spike analysis)"
9796,"95958","Wada activation test for hemispheric function, including electroencephalographic (EEG) monitoring"
9797,"95961","Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; initial hour of physician attendance"
9798,"95962","Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; each additional hour of physician attendance (List separately inaddition to code for primary procedure)"
9799,"95965","Magnetoencephalography (MEG), recording and analysis; for spontaneous brain magnetic activity (eg, epileptic cerebral cortex localization)"
9800,"95966","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, single modality (eg, sensory, motor, language, or visual cortex localization)"
9801,"95967","Magnetoencephalography (MEG), recording and analysis; for evoked magnetic fields, each additional modality (eg, sensory, motor, language, or visual cortex localization) (List separately in addition to code for primary procedure)"
9802,"95970","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); simple or complex brain, spinal cord, or peripheral (ie, cranial nerve, peripheral nerve, sacral nerve, neuromuscular) neurostimulator pulse generator/transmitter, without reprogramming"
9803,"95971","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); simple spinal cord, or peripheral (ie, peripheral nerve, sacral nerve, neuromuscular) neurostimulator pulse generator/transmitter, with intraoperative or subsequent programming"
9804,"95972","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); complex spinal cord, or peripheral (ie, peripheral nerve, sacral nerve, neuromuscular) (except cranial nerve) neurostimulator pulse generator/transmitter, with intraoperative or subsequent programming, first hour"
9805,"95973","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); complex spinal cord, or peripheral (ie, peripheral nerve, sacral nerve, neuromuscular) (except cranial nerve) neurostimulator pulse generator/transmitter, with intraoperative or subsequent programming, each additional 30 minutes after first hour(List separately in addition to code for primary procedure)"
9806,"95974","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); complex cranial nerve neurostimulator pulse generator/transmitter, with intraoperative or subsequent programming, with or without nerve interface testing, first hour"
9807,"95975","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude, pulse duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient compliance measurements); complex cranial nerve neurostimulator pulse generator/transmitter, with intraoperative or subsequent programming, each additional 30 minutes after first hour (List separately in addition to code for primary procedure)"
9808,"95978","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex deep brain neurostimulator pulse generator/transmitter, with initial or subsequent programming; first hour"
9809,"95979","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, battery status, electrode selectability and polarity, impedance and patient compliance measurements), complex deep brain neurostimulator pulse generator/transmitter, with initial or subsequent programming; each additional 30 minutes after first hour (List separately in addition to code for primary procedure)"
9810,"95980","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient measurements) gastricneurostimulator pulse generator/transmitter; intraoperative, with programming"
9811,"95981","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient measurements) gastricneurostimulator pulse generator/transmitter; subsequent, without reprogramming"
9812,"95982","Electronic analysis of implanted neurostimulator pulse generator system (eg, rate, pulse amplitude and duration, configuration of wave form, battery status, electrode selectability, output modulation, cycling, impedance and patient measurements) gastricneurostimulator pulse generator/transmitter; subsequent, with reprogramming"
9813,"95990","Refilling and maintenance of implantable pump or reservoir for drug delivery, spinal (intrathecal, epidural) or brain (intraventricular), includes electronic analysis of pump, when performed;"
9814,"95991","Refilling and maintenance of implantable pump or reservoir for drug delivery, spinal (intrathecal, epidural) or brain (intraventricular), includes electronic analysis of pump, when performed; requiring physician's skill"
9815,"95992","Canalith repositioning procedure(s) (eg, Epley maneuver, Semont maneuver), per day"
9816,"96000","Comprehensive computer-based motion analysis by video-taping and 3D kinematics;"
9817,"96001","Comprehensive computer-based motion analysis by video-taping and 3D kinematics; with dynamic plantar pressure measurements during walking"
9818,"96003","Dynamic fine wire emg"
9819,"96004","Physician review and interpretation of comprehensive computer-based motion analysis, dynamic plantar pressure measurements, dynamic surface electromyography during walking or other functional activities, and dynamic fine wire electromyography, with written report"
9820,"96020","Neurofunctional testing selection and administration during noninvasive imaging functional brain mapping, with test administered entirely by a physician or psychologist, with review of test results and report"
9821,"96040","Medical genetics and genetic counseling services, each 30 minutes face-to-face with patient/family"
9822,"96101","Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI, Rorschach, WAIS), per hour of the psychologist's or physician's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report"
9823,"96102","Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI and WAIS), with qualified health care professional interpretation and report, administered by technician, perhour of technician time, face-to-face"
9824,"96103","Psychological testing (includes psychodiagnostic assessment of emotionality, intellectual abilities, personality and psychopathology, eg, MMPI), administered by a computer, with qualified health care professional interpretation and report"
9825,"96105","Assessment of aphasia (includes assessment of expressive and receptive speech and language function, language comprehension, speech production ability, reading, spelling, writing, eg, by Boston Diagnostic Aphasia Examination) with interpretation and report, per hour"
9826,"96110","Developmental screening, with interpretation and report, per standardized instrument form"
9827,"96111","Developmental testing, (includes assessment of motor, language, social, adaptive, and/or cognitive functioning by standardized developmental instruments) with interpretation and report"
9828,"96116","Neurobehavioral status exam (clinical assessment of thinking, reasoning and judgment, eg, acquired knowledge, attention, language, memory, planning and problem solving, and visual spatial abilities), per hour of the psychologist's or physician's time, both face-to-face time with the patient and time interpreting test results and preparing the report"
9829,"96118","Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), per hour of the psychologist's or physician's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report"
9830,"96119","Neuropsychological testing (eg, Halstead-Reitan Neuropsychological Battery, Wechsler Memory Scales and Wisconsin Card Sorting Test), with qualified health care professional interpretation and report, administered by technician, per hour of technician time, face-to-face"
9831,"96120","Neuropsychological testing (eg, Wisconsin Card Sorting Test), administered by a computer, with qualified health care professional interpretation and report"
9832,"96401","Chemotherapy administration, subcutaneous or intramuscular; non-hormonal anti-neoplastic"
9833,"96402","Chemotherapy administration, subcutaneous or intramuscular; hormonal anti-neoplastic"
9834,"96405","Chemotherapy administration; intralesional, up to and including 7 lesions"
9835,"96406","Chemotherapy administration; intralesional, more than 7 lesions"
9836,"96409","Chemotherapy administration; intravenous, push technique, single or initial substance/drug"
9837,"96125","Standardized cognitive performance testing (eg, Ross Information Processing Assessment) per hour of a qualified health care professional's time, both face-to-face time administering tests to the patient and time interpreting these test results and preparing the report"
9838,"96150","Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; initial assessment"
9839,"95999","Neurological procedure"
9840,"96002","Dynamic surface emg"
9841,"96365","Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); initial, up to 1 hour"
9842,"96366","Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)"
9843,"96367","Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); additional sequential infusion of a new drug/substance, up to 1 hour (List separately in addition to code for primary procedure)"
9844,"96368","Intravenous infusion, for therapy, prophylaxis, or diagnosis (specify substance or drug); concurrent infusion (List separately in addition to code for primary procedure)"
9845,"96369","Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); initial, up to 1 hour, including pump set-up and establishment of subcutaneous infusion site(s)"
9846,"96370","Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); each additional hour (List separately in addition to code for primary procedure)"
9847,"96371","Subcutaneous infusion for therapy or prophylaxis (specify substance or drug); additional pump set-up with establishment of new subcutaneous infusion site(s) (List separately in addition to code for primary procedure)"
9848,"96372","Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); subcutaneous or intramuscular"
9849,"96373","Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); intra-arterial"
9850,"96374","Ther/proph/diag inj iv push"
9851,"96375","Therapeutic, prophylactic, or diagnostic injection (specify substance or drug); each additional sequential intravenous push of a new substance/drug (List separately in addition to code for primary procedure)"
9852,"96151","Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; re-assessment"
9853,"96152","Health and behavior intervention, each 15 minutes, face-to-face; individual"
9854,"96153","Health and behavior intervention, each 15 minutes, face-to-face; group (2 or more patients)"
9855,"96154","Health and behavior intervention, each 15 minutes, face-to-face; family (with the patient present)"
9856,"96155","Health and behavior intervention, each 15 minutes, face-to-face; family (without the patient present)"
9857,"96360","Hydration iv infusion init"
9858,"96361","Hydrate iv infusion add-on"
9859,"96420","Chemotherapy administration, intra-arterial; push technique"
9860,"96422","Chemotherapy administration, intra-arterial; infusion technique, up to 1 hour"
9861,"96423","Chemotherapy administration, intra-arterial; infusion technique, each additional hour (List separately in addition to code for primary procedure)"
9862,"96425","Chemotherapy administration, intra-arterial; infusion technique, initiation of prolonged infusion (more than 8 hours), requiring the use of a portable or implantable pump"
9863,"96913","Photochemotherapy (Goeckerman and/or PUVA) for severe photoresponsive dermatoses requiring at least 4-8 hours of care under direct supervision of the physician (includes application of medication and dressings)"
9864,"96920","Laser treatment for inflammatory skin disease (psoriasis); total area less than 250 sq cm"
9865,"96921","Laser treatment for inflammatory skin disease (psoriasis); 250 sq cm to 500 sq cm"
9866,"96922","Laser treatment for inflammatory skin disease (psoriasis); over 500 sq cm"
9867,"96440","Chemotherapy administration into pleural cavity, requiring and including thoracentesis"
9868,"97001","Physical therapy evaluation"
9869,"97002","Physical therapy re-evaluation"
9870,"97003","Occupational therapy evaluation"
9871,"97004","Occupational therapy re-evaluation"
9872,"96446","Chemotherapy administration into the peritoneal cavity via indwelling port or catheter"
9873,"96450","Chemotherapy administration, into CNS (eg, intrathecal), requiring and including spinal puncture"
9874,"97010","Application of a modality to 1 or more areas; hot or cold packs"
9875,"97012","Application of a modality to 1 or more areas; traction, mechanical"
9876,"97014","Application of a modality to 1 or more areas; electrical stimulation (unattended)"
9877,"97016","Application of a modality to 1 or more areas; vasopneumatic devices"
9878,"97018","Application of a modality to 1 or more areas; paraffin bath"
9879,"97022","Application of a modality to 1 or more areas; whirlpool"
9880,"97024","Application of a modality to 1 or more areas; diathermy (eg, microwave)"
9881,"97026","Application of a modality to 1 or more areas; infrared"
9882,"97028","Application of a modality to 1 or more areas; ultraviolet"
9883,"97032","Application of a modality to 1 or more areas; electrical stimulation (manual), each 15 minutes"
9884,"97033","Application of a modality to 1 or more areas; iontophoresis, each 15 minutes"
9885,"97034","Application of a modality to 1 or more areas; contrast baths, each 15 minutes"
9886,"96521","Refilling and maintenance of portable pump"
9887,"96522","Refilling and maintenance of implantable pump or reservoir for drug delivery, systemic (eg, intravenous, intra-arterial)"
9888,"96523","Irrigation of implanted venous access device for drug delivery systems"
9889,"96376","Tx/pro/dx inj same drug adon"
9890,"96379","Ther/prop/diag inj/inf proc"
9891,"96411","Chemotherapy administration; intravenous, push technique, each additional substance/drug (List separately in addition to code for primary procedure)"
9892,"96413","Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug"
9893,"96415","Chemotherapy administration, intravenous infusion technique; each additional hour (List separately in addition to code for primary procedure)"
9894,"96542","Chemotherapy injection, subarachnoid or intraventricular via subcutaneous reservoir, single or multiple agents"
9895,"96549","Chemotherapy unspecified"
9896,"96567","Photodynamic therapy by external application of light to destroy premalignant and/or malignant lesions of the skin and adjacent mucosa (eg, lip) by activation of photosensitive drug(s), each phototherapy exposure session"
9897,"96570","Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s); first 30 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract)"
9898,"96571","Photodynamic therapy by endoscopic application of light to ablate abnormal tissue via activation of photosensitive drug(s); each additional 15 minutes (List separately in addition to code for endoscopy or bronchoscopy procedures of lung and gastrointestinal tract)"
9899,"96416","Chemotherapy administration, intravenous infusion technique; initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump"
9900,"96900","Actinotherapy (ultraviolet light)"
9901,"96417","Chemotherapy administration, intravenous infusion technique; each additional sequential infusion (different substance/drug), up to 1 hour (List separately in addition to code for primary procedure)"
9902,"96904","Whole body integumentary photography, for monitoring of high risk patients with dysplastic nevus syndrome or a history of dysplastic nevi, or patients with a personal or familial history of melanoma"
9903,"96910","Photochemotherapy; tar and ultraviolet B (Goeckerman treatment) or petrolatum and ultraviolet B"
9904,"96912","Photochemotherapy; psoralens and ultraviolet A (PUVA)"
9905,"96445",""
9906,"96902","Microscopic examination of hairs plucked or clipped by the examiner (excluding hair collected by the patient) to determine telogen and anagen counts, or structural hair shaft abnormality"
9907,"97545","Work hardening"
9908,"97605","Negative pressure wound therapy (eg, vacuum assisted drainage collection), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) surface area less than or equal to 50 square centimeters"
9909,"97546","Work hardening add-on"
9910,"97597","Debridement (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), open wound, (eg, fibrin, devitalized epidermis and/or dermis, exudate, debris, biofilm), including topical application(s), wound assessment, use of a whirlpool, when performed and instruction(s) for ongoing care, per session, total wound(s) surface area; first 20 sq cm or less"
9911,"96999","Dermatological procedure"
9912,"97005","Athletic train eval"
9913,"97598","Debridement (eg, high pressure waterjet with/without suction, sharp selective debridement with scissors, scalpel and forceps), open wound, (eg, fibrin, devitalized epidermis and/or dermis, exudate, debris, biofilm), including topical application(s), wound assessment, use of a whirlpool, when performed and instruction(s) for ongoing care, per session, total wound(s) surface area; each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)"
9914,"97006","Athletic train reeval"
9915,"97799","Physical medicine procedure"
9916,"97035","Application of a modality to 1 or more areas; ultrasound, each 15 minutes"
9917,"97036","Application of a modality to 1 or more areas; Hubbard tank, each 15 minutes"
9918,"97039","Physical therapy treatment"
9919,"97110","Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility"
9920,"97112","Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities"
9921,"97113","Therapeutic procedure, 1 or more areas, each 15 minutes; aquatic therapy with therapeutic exercises"
9922,"97116","Therapeutic procedure, 1 or more areas, each 15 minutes; gait training (includes stair climbing)"
9923,"97124","Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)"
9924,"97139","Physical medicine procedure"
9925,"97140","Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes"
9926,"97150","Therapeutic procedure(s), group (2 or more individuals)"
9927,"97530","Therapeutic activities, direct (one-on-one) patient contact by the provider (use of dynamic activities to improve functional performance), each 15 minutes"
9928,"97532","Development of cognitive skills to improve attention, memory, problem solving (includes compensatory training), direct (one-on-one) patient contact by the provider, each 15 minutes"
9929,"97533","Sensory integrative techniques to enhance sensory processing and promote adaptive responses to environmental demands, direct (one-on-one) patient contact by the provider, each 15 minutes"
9930,"97535","Self-care/home management training (eg, activities of daily living (ADL) and compensatory training, meal preparation, safety procedures, and instructions in use of assistive technology devices/adaptive equipment) direct one-on-one contact by provider, each 15 minutes"
9931,"97537","Community/work reintegration training (eg, shopping, transportation, money management, avocational activities and/or work environment/modification analysis, work task analysis, use of assistive technology device/adaptive equipment), direct one-on-one contact by provider, each 15 minutes"
9932,"97602","Wound(s) care non-selective"
9933,"97542","Wheelchair management (eg, assessment, fitting, training), each 15 minutes"
9934,"97606","Negative pressure wound therapy (eg, vacuum assisted drainage collection), including topical application(s), wound assessment, and instruction(s) for ongoing care, per session; total wound(s) surface area greater than 50 square centimeters"
9935,"97750","Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes"
9936,"98967","Telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 daysnor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 11-20 minutes of medical discussion"
9937,"98968","Telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 daysnor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 21-30 minutes of medical discussion"
9938,"97755","Assistive technology assessment (eg, to restore, augment or compensate for existing function, optimize functional tasks and/or maximize environmental accessibility), direct one-on-one contact by provider, with written report, each 15 minutes"
9939,"97760","Orthotic(s) management and training (including assessment and fitting when not otherwise reported), upper extremity(s), lower extremity(s) and/or trunk, each 15 minutes"
9940,"97761","Prosthetic training, upper and/or lower extremity(s), each 15 minutes"
9941,"97762","Checkout for orthotic/prosthetic use, established patient, each 15 minutes"
9942,"97802","Medical nutrition therapy; initial assessment and intervention, individual, face-to-face with the patient, each 15 minutes"
9943,"97803","Medical nutrition therapy; re-assessment and intervention, individual, face-to-face with the patient, each 15 minutes"
9944,"97804","Medical nutrition therapy; group (2 or more individual(s)), each 30 minutes"
9945,"97810","Acupuncture, 1 or more needles; without electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient"
9946,"97811","Acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)"
9947,"97813","Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient"
9948,"97814","Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)"
9949,"98925","Osteopathic manipulative treatment (OMT); 1-2 body regions involved"
9950,"98926","Osteopathic manipulative treatment (OMT); 3-4 body regions involved"
9951,"98927","Osteopathic manipulative treatment (OMT); 5-6 body regions involved"
9952,"98928","Osteopathic manipulative treatment (OMT); 7-8 body regions involved"
9953,"98929","Osteopathic manipulative treatment (OMT); 9-10 body regions involved"
9954,"98940","Chiropractic manipulative treatment (CMT); spinal, 1-2 regions"
9955,"98941","Chiropractic manipulative treatment (CMT); spinal, 3-4 regions"
9956,"98942","Chiropractic manipulative treatment (CMT); spinal, 5 regions"
9957,"98966","Telephone assessment and management service provided by a qualified nonphysician health care professional to an established patient, parent, or guardian not originating from a related assessment and management service provided within the previous 7 daysnor leading to an assessment and management service or procedure within the next 24 hours or soonest available appointment; 5-10 minutes of medical discussion"
9958,"99091","Collection and interpretation of physiologic data (eg, ECG, blood pressure, glucose monitoring) digitally stored and/or transmitted by the patient and/or caregiver to the physician or other qualified health care professional, requiring a minimum of 30 minutes of time"
9959,"98943","Chiropractic manipulative treatment (CMT); extraspinal, 1 or more regions"
9960,"98960","Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; individual patient"
9961,"98961","Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 2-4 patients"
9962,"98962","Education and training for patient self-management by a qualified, nonphysician health care professional using a standardized curriculum, face-to-face with the patient (could include caregiver/family) each 30 minutes; 5-8 patients"
9963,"99100","Special anesthesia service"
9964,"98969","Online service by hc pro"
9965,"99000","Specimen handling"
9966,"99001","Specimen handling"
9967,"99002","Device handling"
9968,"99024","Postop follow-up visit"
9969,"99170","Anogenital examination with colposcopic magnification in childhood for suspected trauma"
9970,"99026","In-hospital on call service"
9971,"99173","Screening test of visual acuity, quantitative, bilateral"
9972,"99174","Ocular photoscreening with interpretation and report, bilateral"
9973,"99175","Ipecac or similar administration for individual emesis and continued observation until stomach adequately emptied of poison"
9974,"99183","Physician attendance and supervision of hyperbaric oxygen therapy, per session"
9975,"99027","Out-of-hosp on call service"
9976,"99050","Medical services after hrs"
9977,"99190","Special pump services"
9978,"99191","Special pump services"
9979,"99192","Special pump services"
9980,"99195","Phlebotomy, therapeutic (separate procedure)"
9981,"99199","Special service/proc/report"
9982,"99201","Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/or coordinationof care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Physicians typically spend 10 minutes face-to-facewith the patient and/or family."
9983,"99202","Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; Straightforward medical decision making. Counselingand/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity. Physicians typically spend 20 minutes face-to-face with the patient and/or family."
9984,"99051","Med serv eve/wkend/holiday"
9985,"99053","Med serv 10pm-8am 24 hr fac"
9986,"99056","Med service out of office"
9987,"99211","Office/outpatient visit est"
9988,"99058","Office emergency care"
9989,"99060","Out of office emerg med serv"
9990,"99070","Special supplies"
9991,"99071","Patient education materials"
9992,"99075","Medical testimony"
9993,"99078","Group health education"
9994,"99080","Special reports or forms"
9995,"99082","Unusual physician travel"
9996,"99090","Computer data analysis"
9997,"99116","Anesthesia with hypothermia"
9998,"99135","Special anesthesia procedure"
9999,"99144","Mod cs by same phys 5 yrs +"
10000,"99145","Mod cs by same phys add-on"
10001,"99148","Mod cs diff phys < 5 yrs"
10002,"99149","Mod cs diff phys 5 yrs +"
10003,"99150","Mod cs diff phys add-on"
10004,"99172","Ocular function screen"
10005,"99140","Emergency anesthesia"
10006,"99143","Mod cs by same phys < 5 yrs"
10007,"99225","Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making ofmoderate complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is responding inadequately to therapy orhas developed a minor complication. Physicians typically spend 25 minutes at the bedside and on the patient's hospital floor or unit."
10008,"99238","Hospital discharge day management; 30 minutes or less"
10009,"99239","Hospital discharge day management; more than 30 minutes"
10010,"99226","Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Counseling and/orcoordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is unstable or has developed a significant complication or a significant new problem. Physicians typically spend 35 minutes at the bedside and on the patient's hospital floor or unit."
10011,"99231","Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A problem focused interval history; A problem focused examination; Medical decision making that is straightforward orof low complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the patient is stable, recovering or improving. Physicians typically spend 15 minutes at the bedside and on the patient's hospital floor or unit."
10012,"99185","Hypothermia; regional"
10013,"99186","Hypothermia; total body"
10014,"99203","Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A detailed history; A detailed examination; Medical decision making of low complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Physicians typically spend 30 minutes face-to-face with the patient and/or family."
10015,"99204","Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Physicians typically spend 45 minutes face-to-face with the patient and/or family."
10016,"99205","Office or other outpatient visit for the evaluation and management of a new patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordinationof care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Physicians typically spend 60 minutes face-to-face with the patient and/or family."
10017,"99212","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A problem focused history; A problem focused examination; Straightforward medical decision making. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor. Physicians typically spend 10 minutes face-to-face with the patient and/or family."
10018,"99213","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: An expanded problem focused history; An expanded problem focused examination; Medical decision making of low complexity. Counseling and coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity. Physicians typically spend 15 minutes face-to-face with the patient and/or family."
10019,"99214","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Physicians typically spend 25 minutes face-to-face with the patient and/or family."
10020,"99281","Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are self limited or minor."
10021,"99282","Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of low to moderate severity."
10022,"99283","Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity."
10023,"99284","Emergency department visit for the evaluation and management of a patient, which requires these 3 key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care withother providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of high severity, and require urgent evaluation by the physician but do not pose an immediate significant threat to life or physiologic function."
10024,"99215","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling and/or coordination of care with other providers or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate to high severity. Physicians typically spend 40 minutes face-to-face with the patient and/or family."
